,oslaua,postcode,area,region,nursing_care,residential_care,home_care
89,E08000033,WF140BU,Calderdale,Yorkshire and The Humber,478.1,454.1,181.1
90,E08000034,WF5 9SX,Kirklees,Yorkshire and The Humber,476.4,621.2,187.7
91,E08000035,WF3 3YY,Leeds,Yorkshire and The Humber,484.5,611,221
92,E08000036,WF908AG,Wakefield,Yorkshire and The Humber,417.9,462,224.8
93,E09000001,WC2A1ZZ,City of London,London,NA,NA,NA
94,E09000002,RM9 9SD,Barking and Dagenham,London,480.3,538.4,185.1
95,E09000003,WD6 2RW,Barnet,London,537.2,601.1,138.5
96,E09000004,SE9 3WH,Bexley,London,571.7,604.4,210.9
97,E09000005,W9  3EG,Brent,London,479.2,581.5,174.6
98,E09000006,TN169EP,Bromley,London,645.9,606.6,224.9
99,E09000007,WC990LF,Camden,London,493.2,714.4,139
100,E09000008,SW165TX,Croydon,London,442.9,821.3,115.2
101,E09000009,W7  9BQ,Ealing,London,698.4,658.8,188.1
102,E09000010,N9  9ZW,Enfield,London,635.2,659.1,266.8
103,E09000011,SE9 9DN,Greenwich,London,569.9,695.7,222.8
104,E09000012,N5  2RX,Hackney,London,622.9,657.6,362
105,E09000013,WC2H7PD,Hammersmith and Fulham,London,601.1,476.4,217.2
106,E09000014,N81 1NN,Haringey,London,793.3,660.5,221.8
107,E09000015,WD231NX,Harrow,London,555.7,612.2,158.5
108,E09000016,RM9 6DE,Havering,London,544.9,559,169.7
109,E09000017,WD3 8XD,Hillingdon,London,589,622.3,167
110,E09000018,W6  0YF,Hounslow,London,609.2,672.1,189.4
111,E09000019,WC1X9XE,Islington,London,590.8,622.7,167.3
112,E09000020,W9  4EP,Kensington and Chelsea,London,651,1069,137
113,E09000021,TW105LH,Kingston upon Thames,London,476.2,906.2,239.4
114,E09000022,SW990WZ,Lambeth,London,669.2,428.2,196.5
115,E09000023,SE9 4PW,Lewisham,London,697.9,606,197.5
116,E09000024,SW209ZU,Merton,London,659.3,443.8,228.8
117,E09000025,N81 1WA,Newham,London,522.9,543,142.8
118,E09000026,RM8 1YQ,Redbridge,London,550.7,643.1,229
119,E09000027,UB100UR,Richmond upon Thames,London,636.5,860,185
120,E09000028,SE997YX,Southwark,London,517.7,544.8,130.6
121,E09000029,SM7 3JF,Sutton,London,513.7,553.9,236.9
122,E09000030,W12 0YB,Tower Hamlets,London,558.6,487.6,256.4
123,E09000031,N17 9NQ,Waltham Forest,London,437.6,576.2,251.7
124,E09000032,SW959DZ,Wandsworth,London,714.5,648,176.3
125,E09000033,WC999AP,Westminster,London,607.5,835.3,252.4
